PARAMETER,V7_REFERENCE,CURRENT_VALUE,UNIT,SOURCE,SOURCE_REVISION,STATUS,EVIDENCE_CLASS,CONFIDENCE,ENGINEERING_PURPOSE,MISSING_INFORMATION,DEPENDENCY,RISK,NEXT_REQUIRED_EVIDENCE
Izz,100,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Vehicle interface/base frame mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Ixy,100,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Vehicle interface/base frame mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Ixz,100,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Vehicle interface/base frame mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Iyz,100,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Vehicle interface/base frame mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
principal moments,100,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Vehicle interface/base frame mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
principal axes,100,,dimensionless/frame,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Vehicle interface/base frame mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
B-Rep volume,110L,932400.0,mm3,V7_R5_MASS,V7-RC-005,MODEL_DERIVED,GEOMETRY_VOLUME,High,Mass-properties precursor,Density/material identity is not authoritative; volume is not mass.,Material identity + density,High,Controlled material and independent mass measurement
component mass,110L,,kg,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Left longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
component CG X,110L,,mm,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Left longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
component CG Y,110L,,mm,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Left longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
component CG Z,110L,,mm,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Left longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Ixx,110L,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Left longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Iyy,110L,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Left longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Izz,110L,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Left longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Ixy,110L,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Left longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Ixz,110L,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Left longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Iyz,110L,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Left longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
principal moments,110L,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Left longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
principal axes,110L,,dimensionless/frame,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Left longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
B-Rep volume,110R,932400.0,mm3,V7_R5_MASS,V7-RC-005,MODEL_DERIVED,GEOMETRY_VOLUME,High,Mass-properties precursor,Density/material identity is not authoritative; volume is not mass.,Material identity + density,High,Controlled material and independent mass measurement
component mass,110R,,kg,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Right longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
component CG X,110R,,mm,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Right longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
component CG Y,110R,,mm,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Right longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
component CG Z,110R,,mm,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Right longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Ixx,110R,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Right longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Iyy,110R,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Right longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Izz,110R,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Right longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Ixy,110R,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Right longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Ixz,110R,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Right longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Iyz,110R,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Right longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
principal moments,110R,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Right longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
principal axes,110R,,dimensionless/frame,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Right longitudinal load path mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
B-Rep volume,120,6317599.999999999,mm3,V7_R5_MASS,V7-RC-005,MODEL_DERIVED,GEOMETRY_VOLUME,High,Mass-properties precursor,Density/material identity is not authoritative; volume is not mass.,Material identity + density,High,Controlled material and independent mass measurement
component mass,120,,kg,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Seat carriage mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
component CG X,120,,mm,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Seat carriage mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
component CG Y,120,,mm,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Seat carriage mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
component CG Z,120,,mm,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Seat carriage mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Ixx,120,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Seat carriage mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Iyy,120,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Seat carriage mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Izz,120,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Seat carriage mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Ixy,120,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Seat carriage mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Ixz,120,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Seat carriage mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
